"scenario","year","tas","tas_30yr"
"historical",1850,7.4293804011933,7.4293804011933
"historical",1851,8.03340027691569,7.7313903390545
"historical",1852,9.3579624196871,8.2735810325987
"historical",1853,6.45706991953395,7.81945325433251
"historical",1854,8.92745804460084,8.04105421238618
"historical",1855,9.09630787470572,8.21692982277277
"historical",1856,8.4977814554517,8.25705148458404
"historical",1857,9.41478681172412,8.40176840047655
"historical",1858,7.3051127394585,8.27991777147455
"historical",1859,8.97793035637845,8.34971902996494
"historical",1860,8.43375157424012,8.35735835217177
"historical",1861,8.71514298948525,8.38717373861456
"historical",1862,7.6407573543183,8.32975709366869
"historical",1863,8.72699008053299,8.35813087844472
"historical",1864,8.82456451582781,8.38922645427025
"historical",1865,8.49872641367457,8.39607020173302
"historical",1866,9.66216430664065,8.47054632555112
"historical",1867,8.19805682456659,8.45540801994087
"historical",1868,7.49072989375216,8.40463548698357
"historical",1869,9.40408693078448,8.45460805917361
"historical",1870,8.20325150163209,8.44263869929068
"historical",1871,8.05329096545914,8.42494107502561
"historical",1872,8.92267802921151,8.44658181216413
"historical",1873,9.28311692329305,8.4814374417945
"historical",1874,8.81820528213294,8.49490815540804
"historical",1875,8.43545072372648,8.49262133111259
"historical",1876,7.48961345901908,8.45547289140543
"historical",1877,7.88678103930332,8.43516246811607
"historical",1878,7.66227508962973,8.40851117920275
"historical",1879,8.52761263912674,8.41248122786688
"historical",1880,8.48838220815192,8.44778128809883
"historical",1881,8.45608955278791,8.46187093062791
"historical",1882,8.40781525912352,8.43019935860912
"historical",1883,9.2517980288153,8.52335696225183
"historical",1884,6.84711367080774,8.45401214979206
"historical",1885,8.5165006454677,8.4346852421508
"historical",1886,7.91166758080054,8.41514811299576
"historical",1887,8.36260100064215,8.38007525262636
"historical",1888,7.43154326058479,8.38428960333057
"historical",1889,8.01553737692639,8.35220983734883
"historical",1890,8.31955558045272,8.34840330422259
"historical",1891,8.15599925420058,8.3297651797131
"historical",1892,8.07359945995562,8.34419324990101
"historical",1893,8.86790671152614,8.34889047093411
"historical",1894,9.55716251739086,8.37331040431955
"historical",1895,8.45512110043881,8.37185689387836
"historical",1896,7.66161624095481,8.30517195835549
"historical",1897,8.39501133748932,8.31173710878625
"historical",1898,7.23947661935469,8.30336199963967
"historical",1899,9.55958979358414,8.30854542839966
"historical",1900,7.54566165453769,8.28662576682984
"historical",1901,8.82788253157108,8.31244548570024
"historical",1902,9.07071106793131,8.31737992032424
"historical",1903,6.39865087221749,8.22123105195505
"historical",1904,7.88302452212477,8.19005835995478
"historical",1905,7.52741030340328,8.15979034594401
"historical",1906,9.18747240876501,8.21638564426887
"historical",1907,9.15260302399938,8.2585797104254
"historical",1908,8.14133155697684,8.27454825933697
"historical",1909,8.54342952362481,8.27507548882024
"historical",1910,7.89571165319994,8.25531980365518
"historical",1911,8.11522877314322,8.24395777766702
"historical",1912,8.32650971959851,8.24124759301619
"historical",1913,7.85675525404005,8.19474616719035
"historical",1914,7.65109495398119,8.22154554329613
"historical",1915,8.08896559623825,8.20729437498848
"historical",1916,9.68661222197321,8.2664591963609
"historical",1917,8.69503198911068,8.27754022930985
"historical",1918,9.08224512387631,8.3325636247529
"historical",1919,9.02826621695743,8.36632125275394
"historical",1920,8.63700097923073,8.37690276604654
"historical",1921,9.02764541416954,8.4059576380455
"historical",1922,8.68314217345358,8.42627572849544
"historical",1923,8.08889168517233,8.40030856095031
"historical",1924,8.15471843448495,8.35356042485344
"historical",1925,9.19579877461475,8.37824968065931
"historical",1926,7.70406686443174,8.37966470144187
"historical",1927,9.16875585268624,8.40545618528177
"historical",1928,8.84723549097616,8.45904814766915
"historical",1929,9.45807369702485,8.45566427778384
"historical",1930,7.97196044921877,8.46987423760655
"historical",1931,8.1622986675942,8.44768810880732
"historical",1932,7.99867530364159,8.41195358333099
"historical",1933,7.89504231492136,8.46183329808779
"historical",1934,8.95358987050516,8.49751880970047
"historical",1935,8.34647074660212,8.52482082447376
"historical",1936,8.53338512983481,8.50301791517609
"historical",1937,8.57132338432419,8.48364192718692
"historical",1938,8.92006647815445,8.50959975789284
"historical",1939,7.59191397052924,8.47788257278965
"historical",1940,7.25712392004464,8.45659631501781
"historical",1941,9.29032358665991,8.49576614213503
